,Text,Label
0,Security,O
1,experts,O
2,have,O
3,observed,O
4,increasing,O
5,cyber,O
6,espionage,O
7,activity,O
8,related,O
9,to,O
10,China,O
11,’,O
12,s,O
13,Belt,O
14,and,O
15,Road,O
16,Initiative,O
17,(,O
18,BRI,O
19,).,O
20,The,O
21,alarm,O
22,was,O
23,launched,O
24,by,O
25,the,O
26,experts,O
27,from,O
28,cybersecurity,O
29,firms,O
30,FireEye,O
31,and,O
32,Recorded,O
33,Future,O
34,.,O
35,China,O
36,’,O
37,s,O
38,Belt,O
39,and,O
40,Road,O
41,Initiative,O
42,(,O
43,BRI,O
44,),O
45,is,O
46,a,O
47,development,O
48,project,O
49,for,O
50,the,O
51,building,O
52,of,O
53,an,O
54,infrastructure,O
55,connecting,O
56,countries,O
57,in,O
58,Southeast,O
59,Asia,O
60,",",O
61,Central,O
62,Asia,O
63,",",O
64,the,O
65,Middle,O
66,East,O
67,",",O
68,Europe,O
69,",",O
70,and,O
71,Africa,O
72,.,O
73,For,O
74,this,O
75,reason,O
76,",",O
77,the,O
78,project,O
79,is,O
80,considered,O
81,strategic,O
82,for,O
83,almost,O
84,any,O
85,intelligence,O
86,Agency,O
87,.,O
88,FireEye,O
89,defined,O
90,it,O
91,as,O
92,a,O
93,“,O
94,driver,O
95,of,O
96,regional,O
97,cyber,O
98,threat,O
99,activity,O
100,"”,",O
101,experts,O
102,warn,O
103,of,O
104,a,O
105,spike,O
106,in,O
107,espionage,O
108,operations,O
109,aimed,O
110,at,O
111,gathering,O
112,info,O
113,in,O
114,the,O
115,project,O
116,.,O
117,Cyber,O
118,spies,O
119,are,O
120,already,O
121,targeting,O
122,organizations,O
123,from,O
124,various,O
125,sectors,O
126,that,O
127,are,O
128,involved,O
129,in,O
130,the,O
131,project,O
132,.,O
133,“,O
134,Cyber,O
135,espionage,O
136,activity,O
137,related,O
138,to,O
139,the,O
140,initiative,O
141,will,O
142,likely,O
143,include,O
144,the,O
145,emergence,O
146,of,O
147,new,O
148,groups,O
149,and,O
150,nation,O
151,-,O
152,state,O
153,actors,O
154,.,O
155,Given,O
156,the,O
157,range,O
158,of,O
159,geopolitical,O
160,interests,O
161,affected,O
162,by,O
163,this,O
164,endeavor,O
165,",",O
166,it,O
167,may,O
168,be,O
169,a,O
170,driver,O
171,of,O
172,emerging,O
173,nation,O
174,-,O
175,state,O
176,cyber,O
177,actors,O
178,to,O
179,use,O
180,their,O
181,capabilities,O
182,",”",O
183,reads,O
184,a,O
185,report,O
186,published,O
187,by,O
188,FireEye,O
189,.,O
190,FireEye,O
191,uncovered,O
192,an,O
193,espionage,O
194,campaign,O
195,carried,O
196,out,O
197,by,O
198,the,O
199,China,O
200,-,O
201,linked,O
202,APT,O
203,group,O
204,dubbed,O
205,Roaming,B-Actor
206,Tiger,I-Actor
207,.,O
208,The,O
209,Roaming,B-Actor
210,Tiger,I-Actor
211,campaign,O
212,was,O
213,discovered,O
214,by,O
215,experts,O
216,at,O
217,ESET,O
218,in,O
219,2014,O
220,",",O
221,in,O
222,December,O
223,2015,O
224,experts,O
225,uncovered,O
226,a,O
227,cyber,O
228,espionage,O
229,campaign,O
230,aimed,O
231,at,O
232,Russian,B-Target
233,organizations,I-Target
234,.,O
235,The,O
236,APT,O
237,group,O
238,targeted,O
239,entities,B-Target
240,in,I-Target
241,Belarus,I-Target
242,using,O
243,specially,O
244,crafted,O
245,documents,O
246,that,O
247,referenced,O
248,the,O
249,Chinese,O
250,infrastructure,O
251,project,O
252,as,O
253,a,O
254,bait,O
255,.,O
256,FireEye,O
257,observed,O
258,the,O
259,use,O
260,of,O
261,several,O
262,malicious,O
263,codes,O
264,against,O
265,organizations,O
266,involved,O
267,in,O
268,the,O
269,BRI,O
270,project,O
271,.,O
272,Chinese,O
